Extremum 1 found at image  0.868995 with energy:  0.034601
Extremum 2 found at image  1.548320 with energy:  0.015555
Extremum 3 found at image  4.992653 with energy:  0.505265
Extremum 4 found at image  8.996954 with energy:  0.004883
