    0           2.51084500          -159.004149                    0 
    1           1.85637500          -159.098287           -0.0941379 
    2           0.83370600          -159.218226            -0.214076 
    3           0.53674900          -159.303282            -0.299132 
    4           0.23646000          -159.346427            -0.342278 
    5           0.17656000          -159.362926            -0.358777 
    6           0.18799100          -159.372837            -0.368687 
    7           0.07669400          -159.376213            -0.372064 
    8           0.06559600          -159.378256            -0.374107 
    9           0.03169100          -159.379824            -0.375674 
   10           0.03366000          -159.381167            -0.377018 
   11           0.03097000          -159.382800            -0.378651 
   12           0.02712400          -159.384572            -0.380422 
   13           0.03546100          -159.385910            -0.381761 
   14           0.02410100          -159.387112            -0.382962 
   15           0.02536500          -159.387924            -0.383775 
   16           0.01758900          -159.388666            -0.384517 
   17           0.01529400          -159.389300            -0.385151 
   18           0.01052800          -159.389758            -0.385609 
