1	0.	-.33252707E+03	-.33244954E+03
2	0.	-.33252712E+03	-.33245128E+03
3	1.	-.33252717E+03	-.33245425E+03
4	1.	-.33252720E+03	-.33245785E+03
5	2.	-.33252722E+03	-.33246159E+03
6	2.	-.33252722E+03	-.33246531E+03
7	3.	-.33252721E+03	-.33246915E+03
8	3.	-.33252723E+03	-.33247327E+03
9	4.	-.33252726E+03	-.33247768E+03
10	4.	-.33252730E+03	-.33248206E+03
11	5.	-.33252734E+03	-.33248596E+03
12	5.	-.33252736E+03	-.33248898E+03
13	5.	-.33252738E+03	-.33249093E+03
14	5.	-.33252739E+03	-.33249181E+03
15	5.	-.33252741E+03	-.33249166E+03
16	5.	-.33252742E+03	-.33249049E+03
17	5.	-.33252744E+03	-.33248826E+03
18	5.	-.33252744E+03	-.33248499E+03
19	4.	-.33252743E+03	-.33248090E+03
20	4.	-.33252741E+03	-.33247637E+03
21	3.	-.33252741E+03	-.33247178E+03
22	3.	-.33252742E+03	-.33246736E+03
23	2.	-.33252744E+03	-.33246309E+03
24	2.	-.33252745E+03	-.33245880E+03
25	1.	-.33252744E+03	-.33245446E+03
26	1.	-.33252741E+03	-.33245030E+03
27	0.	-.33252738E+03	-.33244683E+03
28	0.	-.33252737E+03	-.33244461E+03
29	0.	-.33252737E+03	-.33244397E+03
30	0.	-.33252739E+03	-.33244486E+03
31	0.	-.33252742E+03	-.33244693E+03
32	1.	-.33252743E+03	-.33244976E+03
33	1.	-.33252743E+03	-.33245311E+03
34	2.	-.33252741E+03	-.33245697E+03
35	2.	-.33252741E+03	-.33246140E+03
36	3.	-.33252742E+03	-.33246634E+03
37	3.	-.33252743E+03	-.33247152E+03
38	4.	-.33252745E+03	-.33247652E+03
39	4.	-.33252745E+03	-.33248095E+03
40	5.	-.33252743E+03	-.33248464E+03
41	5.	-.33252741E+03	-.33248761E+03
42	5.	-.33252740E+03	-.33248993E+03
43	5.	-.33252740E+03	-.33249153E+03
44	5.	-.33252741E+03	-.33249216E+03
45	5.	-.33252740E+03	-.33249152E+03
46	5.	-.33252737E+03	-.33248947E+03
47	5.	-.33252733E+03	-.33248623E+03
48	4.	-.33252729E+03	-.33248227E+03
49	4.	-.33252725E+03	-.33247809E+03
50	3.	-.33252724E+03	-.33247400E+03
51	3.	-.33252724E+03	-.33247003E+03
52	2.	-.33252724E+03	-.33246602E+03
53	2.	-.33252721E+03	-.33246191E+03
54	1.	-.33252718E+03	-.33245787E+03
55	1.	-.33252714E+03	-.33245431E+03
56	0.	-.33252712E+03	-.33245172E+03
57	0.	-.33252712E+03	-.33245039E+03
58	0.	-.33252713E+03	-.33245037E+03
59	0.	-.33252714E+03	-.33245151E+03
60	1.	-.33252716E+03	-.33245359E+03
61	1.	-.33252717E+03	-.33245647E+03
62	1.	-.33252718E+03	-.33246008E+03
63	2.	-.33252721E+03	-.33246429E+03
64	2.	-.33252724E+03	-.33246886E+03
65	3.	-.33252727E+03	-.33247343E+03
66	4.	-.33252729E+03	-.33247769E+03
67	4.	-.33252730E+03	-.33248147E+03
68	4.	-.33252731E+03	-.33248480E+03
69	5.	-.33252733E+03	-.33248775E+03
70	5.	-.33252736E+03	-.33249024E+03
71	5.	-.33252741E+03	-.33249198E+03
72	6.	-.33252745E+03	-.33249250E+03
73	5.	-.33252746E+03	-.33249147E+03
74	5.	-.33252745E+03	-.33248891E+03
75	5.	-.33252742E+03	-.33248524E+03
