   37 T=     3. E= -.33252743E+03 F= -.33255255E+03 E0= -.33247152E+03  EK= 0.25115E-01 SP= 0.00E+00 SK= 0.00E+00
   38 T=     4. E= -.33252745E+03 F= -.33255711E+03 E0= -.33247652E+03  EK= 0.29665E-01 SP= 0.00E+00 SK= 0.00E+00
   39 T=     4. E= -.33252745E+03 F= -.33256118E+03 E0= -.33248095E+03  EK= 0.33734E-01 SP= 0.00E+00 SK= 0.00E+00
   40 T=     5. E= -.33252743E+03 F= -.33256457E+03 E0= -.33248464E+03  EK= 0.37141E-01 SP= 0.00E+00 SK= 0.00E+00
   41 T=     5. E= -.33252741E+03 F= -.33256729E+03 E0= -.33248761E+03  EK= 0.39883E-01 SP= 0.00E+00 SK= 0.00E+00
   42 T=     5. E= -.33252740E+03 F= -.33256940E+03 E0= -.33248993E+03  EK= 0.42002E-01 SP= 0.00E+00 SK= 0.00E+00
   43 T=     5. E= -.33252740E+03 F= -.33257082E+03 E0= -.33249153E+03  EK= 0.43417E-01 SP= 0.00E+00 SK= 0.00E+00
   44 T=     5. E= -.33252741E+03 F= -.33257128E+03 E0= -.33249216E+03  EK= 0.43874E-01 SP= 0.00E+00 SK= 0.00E+00
   45 T=     5. E= -.33252740E+03 F= -.33257048E+03 E0= -.33249152E+03  EK= 0.43075E-01 SP= 0.00E+00 SK= 0.00E+00
   46 T=     5. E= -.33252737E+03 F= -.33256828E+03 E0= -.33248947E+03  EK= 0.40903E-01 SP= 0.00E+00 SK= 0.00E+00
   47 T=     5. E= -.33252733E+03 F= -.33256489E+03 E0= -.33248623E+03  EK= 0.37555E-01 SP= 0.00E+00 SK= 0.00E+00
   48 T=     4. E= -.33252729E+03 F= -.33256077E+03 E0= -.33248227E+03  EK= 0.33486E-01 SP= 0.00E+00 SK= 0.00E+00
   49 T=     4. E= -.33252725E+03 F= -.33255645E+03 E0= -.33247809E+03  EK= 0.29194E-01 SP= 0.00E+00 SK= 0.00E+00
   50 T=     3. E= -.33252724E+03 F= -.33255223E+03 E0= -.33247400E+03  EK= 0.24987E-01 SP= 0.00E+00 SK= 0.00E+00
   51 T=     3. E= -.33252724E+03 F= -.33254814E+03 E0= -.33247003E+03  EK= 0.20896E-01 SP= 0.00E+00 SK= 0.00E+00
   52 T=     2. E= -.33252724E+03 F= -.33254403E+03 E0= -.33246602E+03  EK= 0.16794E-01 SP= 0.00E+00 SK= 0.00E+00
